Wind speed (knots) 	Wave (m) 	Wave period (s) 	Temperature (°C)
02h 	05h 	08h 	11h 	14h 	17h 	20h 	23h 	02h 	05h 	08h 	11h 	14h 	17h 	20h 	23h 	02h 	05h 	08h 	11h 	14h 	17h 	20h 	23h 	02h 	05h 	08h 	11h 	14h 	17h 	20h 	23h
01.01.2020 	12 	9 	7 	7 	6 	7 	7 	5 	2.9 	2.7 	2.6 	2.5 	2.4 	2.4 	2.3 	2.2 	16 	16 	15 	15 	15 	15 	14 	14 	20 	20 	21 	23 	23 	22 	22 	21
02.01.2020 	3 	5 	2 	4 	4 	8 	9 	13 	2.2 	2.1 	2.1 	2 	2 	1.9 	1.9 	2 	14 	14 	14 	13 	13 	13 	13 	12 	21 	21 	21 	23 	23 	22 	21 	21
03.01.2020 	14 	16 	18 	17 	16 	15 	16 	17 	2.2 	2.4 	2.5 	2.6 	2.5 	2.4 	2.5 	2.5 	12 	10 	9 	9 	10 	10 	11 	9 	21 	21 	21 	22 	23 	22 	22 	22
04.01.2020 	15 	15 	17 	18 	17 	17 	17 	16 	2.5 	2.5 	2.6 	2.7 	2.6 	2.6 	2.6 	2.5 	9 	9 	9 	9 	9 	9 	9 	9 	22 	21 	22 	23 	23 	22 	22 	22
05.01.2020 	15 	15 	17 	17 	17 	18 	20 	19 	2.4 	2.4 	2.3 	2.3 	2.4 	2.4 	2.5 	2.6 	9 	9 	9 	9 	9 	9 	9 	9 	21 	21 	21 	23 	23 	22 	22 	21
06.01.2020 	19 	19 	20 	19 	18 	17 	17 	18 	2.6 	2.6 	2.6 	2.7 	2.6 	2.5 	2.5 	2.5 	9 	9 	9 	9 	9 	9 	9 	9 	21 	21 	22 	23 	23 	23 	21 	21
07.01.2020 	18 	22 	20 	23 	23 	23 	23 	22 	2.6 	2.7 	2.7 	2.8 	3.1 	3.1 	3.2 	3.2 	9 	9 	10 	10 	10 	10 	10 	10 	21 	21 	21 	22 	23 	22 	21 	21
08.01.2020 	21 	23 	21 	19 	18 	19 	19 	20 	3.2 	3.2 	3.2 	3.2 	3.2 	3.1 	3.1 	3.1 	10 	10 	10 	10 	10 	10 	10 	10 	21 	21 	21 	22 	23 	22 	21 	21
09.01.2020 	19 	21 	21 	22 	21 	20 	21 	20 	3.1 	3.3 	3.3 	3.5 	3.5 	3.5 	3.6 	3.6 	10 	10 	10 	10 	11 	11 	11 	11 	21 	21 	21 	22 	22 	21 	21 	21
10.01.2020 	19 	19 	20 	21 	21 	20 	21 	20 	3.5 	3.4 	3.4 	3.5 	3.5 	3.5 	3.5 	3.6 	11 	11 	11 	11 	11 	11 	11 	10 	21 	21 	21 	22 	22 	22 	22 	22
11.01.2020 	19 	19 	19 	17 	18 	19 	21 	20 	3.6 	3.6 	3.7 	3.5 	3.5 	3.4 	3.5 	3.5 	10 	10 	10 	10 	10 	10 	10 	10 	21 	21 	21 	23 	23 	22 	22 	22
12.01.2020 	21 	21 	20 	19 	19 	17 	18 	16 	3.6 	3.5 	3.6 	3.4 	3.4 	3.2 	3.2 	3.1 	10 	10 	10 	10 	10 	10 	10 	10 	22 	22 	22 	22 	23 	22 	22 	22
13.01.2020 	22 	21 	22 	21 	17 	17 	19 	18 	3.4 	3.5 	3.6 	3.5 	3.3 	3.1 	3.1 	3.1 	10 	10 	10 	10 	10 	10 	10 	10 	22 	22 	22 	23 	22 	22 	22 	22
14.01.2020 	19 	19 	20 	20 	21 	20 	20 	21 	3.1 	3.1 	3.1 	3.2 	3.3 	3.1 	3.1 	3.2 	10 	10 	10 	10 	10 	10 	10 	10 	21 	21 	22 	22 	23 	22 	22 	21
15.01.2020 	18 	16 	19 	18 	17 	15 	14 	15 	3.2 	3 	3 	2.9 	2.9 	2.7 	2.5 	2.5 	10 	10 	10 	10 	10 	10 	10 	10 	21 	21 	21 	22 	22 	22 	21 	21
16.01.2020 	13 	12 	11 	9 	11 	10 	5 	4 	2.4 	2.3 	2.1 	2 	1.9 	1.8 	1.7 	1.6 	10 	10 	10 	10 	10 	10 	10 	10 	21 	21 	21 	23 	22 	22 	22 	22
17.01.2020 	3 	2 	4 	11 	9 	12 	14 	13 	1.5 	1.5 	1.4 	1.4 	1.4 	1.5 	2 	2.5 	9 	9 	9 	9 	9 	9 	11 	11 	21 	21 	22 	23 	22 	21 	21 	20
18.01.2020 	12 	13 	13 	13 	13 	15 	14 	15 	2.6 	2.6 	2.5 	2.4 	2.3 	2.3 	2.3 	2.3 	11 	11 	11 	10 	10 	10 	10 	10 	20 	20 	20 	21 	22 	21 	20 	20
19.01.2020 	14 	14 	13 	13 	12 	13 	15 	15 	2.2 	2.2 	2.1 	2.1 	2.2 	2.4 	2.6 	2.7 	11 	11 	11 	15 	16 	16 	15 	15 	20 	19 	20 	22 	22 	21 	21 	21
20.01.2020 	13 	14 	14 	14 	14 	14 	14 	13 	2.7 	2.6 	2.6 	2.5 	2.4 	2.4 	2.3 	2.1 	15 	15 	14 	14 	13 	13 	13 	12 	21 	21 	21 	22 	22 	22 	21 	20
21.01.2020 	11 	10 	9 	9 	11 	10 	8 	7 	2 	1.9 	1.8 	1.8 	1.7 	1.7 	1.6 	1.5 	12 	12 	12 	11 	11 	11 	11 	11 	20 	20 	20 	22 	22 	21 	21 	21
22.01.2020 	3 	6 	7 	9 	10 	7 	2 	2 	1.4 	1.4 	1.5 	1.7 	1.9 	2.2 	2.6 	3 	11 	11 	20 	19 	18 	19 	18 	18 	20 	19 	20 	22 	22 	22 	21 	20
23.01.2020 	3 	6 	6 	3 	2 	1 	2 	2 	3.1 	3.1 	3 	2.7 	2.5 	2.3 	2.2 	2.1 	17 	16 	16 	16 	15 	15 	15 	14 	20 	19 	20 	23 	23 	22 	21 	21
24.01.2020 	3 	2 	3 	2 	3 	4 	6 	8 	2 	1.8 	1.8 	1.7 	1.7 	1.9 	2 	2 	14 	14 	13 	13 	13 	13 	13 	12 	21 	21 	21 	23 	23 	23 	21 	20
25.01.2020 	7 	8 	9 	10 	11 	11 	10 	10 	2 	2.2 	2.4 	2.6 	2.7 	2.8 	2.8 	2.7 	12 	12 	18 	18 	18 	17 	17 	17 	20 	20 	21 	23 	23 	23 	21 	21
26.01.2020 	10 	12 	11 	12 	11 	11 	10 	10 	2.7 	2.6 	2.5 	2.4 	2.4 	2.3 	2.2 	2.2 	16 	16 	16 	16 	16 	15 	15 	15 	21 	20 	21 	23 	23 	22 	21 	21
27.01.2020 	10 	12 	12 	12 	14 	13 	11 	11 	2.1 	2.1 	2 	2 	2.2 	2.2 	2.1 	2 	14 	14 	14 	14 	13 	13 	13 	13 	20 	20 	21 	23 	23 	22 	21 	21
28.01.2020 	9 	8 	7 	8 	12 	13 	14 	10 	2 	2 	1.9 	1.8 	1.9 	2 	2 	2 	13 	13 	13 	13 	13 	13 	13 	13 	21 	20 	21 	23 	23 	22 	22 	21
29.01.2020 	10 	9 	6 	9 	11 	8 	9 	7 	2 	2.1 	2.2 	2.2 	2.3 	2.3 	2.2 	2.2 	13 	15 	14 	14 	14 	14 	14 	14 	21 	21 	21 	23 	23 	22 	22 	22
30.01.2020 	5 	6 	6 	9 	11 	10 	11 	11 	2.2 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.2 	14 	14 	14 	14 	14 	14 	13 	13 	21 	21 	21 	23 	22 	22 	21 	21
31.01.2020 	10 	10 	11 	11 	14 	14 	15 	14 	2.2 	2.2 	2.3 	2.4 	2.6 	2.7 	2.7 	2.6 	13 	13 	13 	13 	13 	13 	12 	12 	21 	21 	21 	23 	22 	22 	22 	21
01.02.2020 	13 	12 	11 	11 	14 	11 	9 	10 	2.5 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.3 	12 	12 	12 	12 	13 	13 	12 	12 	21 	21 	21 	23 	23 	22 	20 	20
02.02.2020 	8 	8 	7 	12 	15 	15 	12 	13 	2.3 	2.2 	2.1 	2.1 	2.2 	2.3 	2.3 	2.2 	12 	12 	11 	11 	11 	10 	10 	10 	20 	20 	20 	23 	23 	22 	21 	21
03.02.2020 	13 	12 	13 	12 	15 	15 	11 	7 	2.1 	2 	2 	2 	2.1 	2.1 	1.9 	1.8 	10 	10 	10 	10 	10 	10 	10 	10 	21 	20 	21 	23 	23 	22 	21 	21
